Nome,Solucao_Referencia,Solucao_Obtida_Anterior,Solucao_Obtida,Diferenca
BHW1,337.0,621.0,612.0,275.0
BHW2,470.0,844.0,818.0,348.0
BHW3,415.0,605.0,611.0,196.0
BHW4,240.0,352.0,362.0,122.0
BHW5,502.0,1338.0,1306.0,804.0
BHW6,388.0,936.0,932.0,544.0
BHW7,1062.0,2124.0,2124.0,1062.0
BHW8,668.0,1153.0,1099.0,431.0
BHW9,865.0,1868.0,1886.0,1021.0
BHW10,8482.0,15028.0,15861.0,7379.0
BHW11,4883.0,7122.0,7691.0,2808.0
BHW12,10849.0,16693.0,16942.0,6093.0
BHW13,14318.0,23983.0,23875.0,9557.0
BHW14,24758.0,31084.0,31084.0,6326.0
BHW15,15356.0,21860.0,21717.0,6361.0
BHW16,43682.0,54104.0,54165.0,10483.0
BHW17,25960.0,31896.0,31896.0,5936.0
BHW18,15208.0,25935.0,25469.0,10261.0
BHW19,9379.0,14169.0,14339.0,4960.0
BHW20,16257.0,24068.0,24068.0,7811.0
CBMix1,2569.0,4196.0,4374.0,1805.0
CBMix2,11658.0,19270.0,19612.0,7954.0
CBMix3,3614.0,6414.0,6349.0,2735.0
CBMix4,7475.0,11962.0,11848.0,4373.0
CBMix5,4459.0,7841.0,7383.0,2924.0
CBMix6,6813.0,11966.0,11785.0,4972.0
CBMix7,9323.0,17635.0,16972.0,7649.0
CBMix8,10271.0,18756.0,18443.0,8172.0
CBMix9,3965.0,6316.0,6249.0,2284.0
CBMix10,7462.0,11826.0,11914.0,4452.0
CBMix11,4456.0,6463.0,6607.0,2151.0
CBMix12,3138.0,5924.0,6109.0,2971.0
CBMix13,8983.0,17834.0,17598.0,8615.0
CBMix14,8420.0,11415.0,11269.0,2849.0
CBMix15,8164.0,13574.0,13353.0,5189.0
CBMix16,8605.0,17748.0,18453.0,9848.0
CBMix17,4034.0,8098.0,7340.0,3306.0
CBMix18,6979.0,14077.0,14393.0,7414.0
CBMix19,16024.0,22859.0,22859.0,6835.0
CBMix20,4738.0,7694.0,7500.0,2762.0
mggdb_0.25_1,280.0,458.0,433.0,153.0
mggdb_0.25_2,349.0,543.0,556.0,207.0
mggdb_0.25_3,278.0,459.0,502.0,224.0
mggdb_0.25_4,289.0,466.0,476.0,187.0
mggdb_0.25_5,394.0,605.0,657.0,263.0
mggdb_0.25_6,292.0,468.0,470.0,178.0
mggdb_0.25_7,290.0,454.0,464.0,174.0
mggdb_0.25_8,336.0,530.0,566.0,230.0
mggdb_0.25_9,309.0,513.0,510.0,201.0
mggdb_0.25_10,265.0,412.0,431.0,166.0
mggdb_0.25_11,356.0,727.0,617.0,261.0
mggdb_0.25_12,459.0,688.0,723.0,264.0
mggdb_0.25_13,384.0,570.0,594.0,210.0
mggdb_0.25_14,107.0,153.0,153.0,46.0
mggdb_0.25_15,55.0,80.0,76.0,21.0
mggdb_0.25_16,98.0,154.0,149.0,51.0
mggdb_0.25_17,71.0,100.0,100.0,29.0
mggdb_0.25_18,144.0,215.0,214.0,70.0
mggdb_0.25_19,53.0,78.0,78.0,25.0
mggdb_0.25_20,116.0,172.0,187.0,71.0
mgval_0.25_1A,177.0,385.0,386.0,209.0
mgval_0.25_1B,217.0,423.0,409.0,192.0
mgval_0.25_1C,283.0,507.0,540.0,257.0
mgval_0.25_2A,259.0,571.0,528.0,269.0
mgval_0.25_2B,336.0,615.0,588.0,252.0
mgval_0.25_2C,480.0,804.0,744.0,264.0
mgval_0.25_3A,89.0,193.0,184.0,95.0
mgval_0.25_3B,125.0,195.0,191.0,66.0
mgval_0.25_3C,153.0,227.0,230.0,77.0
mgval_0.25_4A,514.0,1022.0,1068.0,554.0
mgval_0.25_4B,537.0,1057.0,1070.0,533.0
mgval_0.25_4C,525.0,1216.0,1167.0,642.0
mgval_0.25_5A,485.0,1151.0,1115.0,630.0
mgval_0.25_5B,493.0,1112.0,1130.0,637.0
mgval_0.25_5C,584.0,1172.0,1123.0,539.0
mgval_0.25_6A,274.0,541.0,593.0,319.0
mgval_0.25_6B,263.0,550.0,557.0,294.0
mgval_0.25_6C,324.0,633.0,666.0,342.0
