Nome,Solucao_Referencia,Solucao_Obtida,Diferenca
BHW1,337.0,719.0,382.0
BHW2,470.0,1045.0,575.0
BHW3,415.0,695.0,280.0
BHW4,240.0,368.0,128.0
BHW5,502.0,1250.0,748.0
CBMix1,2569.0,4574.0,2005.0
CBMix2,11658.0,17556.0,5898.0
CBMix3,3614.0,6560.0,2946.0
CBMix4,7475.0,10538.0,3063.0
CBMix5,4459.0,8065.0,3606.0
DI-NEARP-n240-Q16k,14717.0,28316.0,13599.0
DI-NEARP-n240-Q2k,23894.0,36014.0,12120.0
DI-NEARP-n240-Q4k,18184.0,31632.0,13448.0
DI-NEARP-n240-Q8k,15897.0,28781.0,12884.0
DI-NEARP-n422-Q16k,14364.0,26754.0,12390.0
mggdb_0.25_1,280.0,492.0,212.0
mggdb_0.25_2,349.0,546.0,197.0
mggdb_0.25_3,278.0,520.0,242.0
mggdb_0.25_4,289.0,547.0,258.0
mggdb_0.25_5,394.0,690.0,296.0
mgval_0.25_1A,177.0,379.0,202.0
mgval_0.25_1B,217.0,419.0,202.0
mgval_0.25_1C,283.0,551.0,268.0
mgval_0.25_2A,259.0,537.0,278.0
mgval_0.25_2B,336.0,603.0,267.0
mgval_0.25_2C,480.0,783.0,303.0
